"id_obs","created_at","text","type","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","date"
963717,"2022-05-23T13:49:25.000Z","@GordonFreemanXX @Gonzalo_qh @Danielveloz @mvacarezza @fernando_atria al que le parece cuestionable la opinión de personas con “supina ignorancia jurídica” es al de más arriba, le sugiero lea el hilo","replied_to","No Error",0.2412222,0.0045776367,0.25602314,0.0058416002,2022-05-23
339117,"2022-11-22T10:17:25.000Z","@Sinfiltros_tv @cretton15 Tontito @cretton15... Tiene futuro....","replied_to","No Error",0.3722269,0.0077819824,0.43450394,0.0065956907,2022-11-22
1311137,"2022-04-12T15:54:48.000Z","@mcubillossigall Y a ti y tus secuaces LA MÚSICA SE LES ACABÓ! 😉🤣💪🏻","replied_to","No Error",0.22846605,0.008926392,0.24287975,0.008272167,2022-04-12
712020,"2021-07-09T03:45:48.000Z","@ElisaLoncon Ahora saben que no son presos ""políticos"", pero son delincuentes y lumpen. Ninguno fue una paloma que pasaba por ahí. Haga su trabajo y no gaste nuestras contribuciones en darse gustos politicos","replied_to","No Error",0.37955463,0.020515325,0.47384647,0.008841781,2021-07-09
1968983,"2022-04-19T11:00:57.000Z","@RenatoGarinG Garin Garin.... Qué bicho te picó ???!!!!!🤦🤦🤦🤦","replied_to","No Error",0.30439767,0.012207031,0.32211447,0.0071847234,2022-04-19
602001,"2022-10-08T02:27:47.000Z","@Rodrigo17028992 @liberatuvoz_com @tere_marinovic españa es nuestra madre patria. Y por otro lado como ustedes mate weas copian ideologías extranjeras como el comunismo importado de rusia y otros.","replied_to","No Error",0.39441586,0.023645958,0.43158367,0.01508414,2022-10-08
1192858,"2022-06-16T01:20:00.000Z","@Sinfiltros_tv @tere_marinovic @CaroDistrito1 @vive_tvcable @gonzalofeito Ya poh @renenaranjo callate..... Y andate para tu casa.....0 argumentos","replied_to","No Error",0.36095104,0.01644827,0.40243408,0.011612174,2022-06-16
531604,"2022-10-03T15:44:14.000Z","@tere_marinovic Tecnicismo. Al final es una arma de guerra... Muy utilizada en EEUU para matar estudiantes.","replied_to","No Error",0.23379272,0.023076924,0.08533409,0.34804323,2022-10-03
91092,"2022-12-14T17:30:53.000Z","@ValentnAdolfoC1 @BLABLAPOST @MariaSo50061193 @BRebolledoD17 Super claro tienes los conceptos... Llamas dictadura a un gobierno electo democráticamente  y fijo le dices gobierno a una dictadura que a punta de torturas, asesinatos y desaparecidos se perpetuo 17 años en el poder.","replied_to","No Error",0.22311419,0.01393057,0.19500497,0.010628296,2022-12-14
2420339,"2021-07-27T16:10:37.000Z","@Hugo_Gutierrez_ @convencioncl Qué sería de nosotros sin acuerdos. Además a la derecha le hace falta hacerse responsables también de este proceso para que se dejen de andar cacareando puros cagüines y se pongan a trabajar siendo un aporte, por que esta constitución la escribimos entre todes ✊","replied_to","No Error",0.3666224,0.021806452,0.40243408,0.00746953,2021-07-27
