"id_obs","created_at","text","type","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","date"
1203209,"2021-12-20T03:39:41.000Z","@tere_marinovic Ahí quedaste vieja culia","replied_to","No Error",0.8778702,0.45185554,0.87506694,0.008634649,2021-12-20
928342,"2022-07-22T14:54:14.000Z","@fernando_atria @tere_marinovic Jajaja que falso este tipo,la verdad duele !!! Cambia de argumentos los Chilenos estamos aburridos RECHAZO SU MIERDA DE MAMARRACHO!!","replied_to","No Error",0.8460273,0.46947223,0.83943826,0.067232,2022-07-22
703112,"2022-02-24T15:37:18.000Z","@Hugo_Gutierrez_ @convencioncl Hijo de puta delincuente farsante como no te podías re elegir te metiste en est0 chupa sangre culia0","replied_to","No Error",0.9288007,0.6474255,0.9335635,0.044925548,2022-02-24
106184,"2021-08-11T05:49:03.000Z","@arturozunigaj El lenguaje corporal lo dice todo, dice: MENTIROSO CULIAO.","replied_to","No Error",0.83334327,0.35368225,0.83943826,0.007417747,2021-08-11
108365,"2022-11-09T11:42:11.000Z","@berfontaine Yo debo ser quien administra mi plata no tus mierdas de AFP imbecil qlo","replied_to","No Error",0.90451443,0.35368225,0.9063489,0.009100696,2022-11-09
732457,"2021-07-09T18:41:26.000Z","@baradit Vayan al geriatra primero soldaditos de plomo, jamas han ganado nada, guatones de mierda ladrones.","replied_to","No Error",0.8988238,0.52891463,0.9045387,0.061736204,2021-07-09
970763,"2022-04-20T16:18:36.000Z","@Patrici67971033 @baradit @carmenrosselot Que estúpida eres","replied_to","No Error",0.8115627,0.13863131,0.8685752,0.008272167,2022-04-20
179468,"2021-10-27T19:04:18.000Z","@arturozunigaj @metalmauro Deja de  wear y hablar weas tonto y la conchetumare","replied_to","No Error",0.89241093,0.35368225,0.9028068,0.009385503,2021-10-27
82808,"2022-11-08T14:53:17.000Z","@berfontaine Parasito Culiao de las afp, ponte a trabajar","replied_to","No Error",0.88599813,0.45895407,0.8987166,0.010576514,2022-11-08
1356946,"2021-12-21T19:42:39.000Z","@TamaraE_04 @gabrielboric @ElisaLoncon @Jaime_Bassa @convencioncl ESTUPIDA ,imbecil..boric se hace cargo  del 11 de marzo adelante,reclamale a Piñera..aweona","replied_to","No Error",0.8460273,0.35368225,0.87506694,0.010032792,2021-12-21
712435,"2022-03-10T01:21:42.000Z","@mcubillossigall Cara de Pajaro porque no te pudres tu y toda tu Drcha de Mrda que Representas son una porqueria como Partido ahora comienza un nuevo chile y ustedes son minoría no pierdas tu tmpo y dedícate a las labores del hogar ahí estarás mejor nadie te pescara si continuas","replied_to","No Error",0.8364697,0.6130557,0.83943826,0.14960353,2022-03-10
303996,"2022-11-05T17:21:56.000Z","@ElisaLoncon @Agirpourvivant Toda  tu vida  con becas del estado lograste estudiar , por ustedes si que tienen beneficios  por su apellido indígena,  eres muy care raja  quédate en Francia  o donde sea pero aléjate de chile enferma  de mier.......","replied_to","No Error",0.88599813,0.5454843,0.87896585,0.024062606,2022-11-05
243465,"2022-11-23T11:32:49.000Z","@gabrielboric @lopezobrador_ @IrinaKaramanos @labeasanchez TE LA HAY LLEVADO PURO PASEOANDO CTM Y NO TE HAY PREOCUPADO DEL PAIS LO TENI EN TOTAL AVANDONO .RENUNCIA SACO DE WEA NO SERVI PARA EL CARGO Y DE PASADA LLEVATE A TODAS LAS MIERDAS Q ESTA EN EL GOBIERNO GARRAPATAS CTM","replied_to","No Error",0.8540474,0.50703704,0.87225974,0.020264024,2022-11-23
248066,"2022-08-16T03:50:38.000Z","@BenitoBaranda Viejo de mierda!!!!!","replied_to","No Error",0.91625386,0.50703704,0.9263389,0.011094344,2022-08-16
206121,"2021-08-19T00:21:19.000Z","@CamilaZarateZ @MarcelaVeraO Son verdaderos hijos de puta","replied_to","No Error",0.8778702,0.47416782,0.87225974,0.01052473,2021-08-19
754613,"2021-09-29T17:18:31.000Z","@HarryJurgensen q tení contra los niños viejo culiao","replied_to","No Error",0.85173553,0.35094213,0.8634578,0.011793415,2021-09-29
261732,"2022-11-25T15:38:18.000Z","@BSepulvedaHales Ah linda la cuestión y en 2019 cuando tus amiguis asolaron chile, no solo guardaste silencio si no que avalista la violencia. Ahí no te importaron las pérdidas. Fresca de raja, por eso nadie los quiere comistas hijos de la gran puta","quoted","No Error",0.8629672,0.5614964,0.87225974,0.020609349,2022-11-25
2354429,"2022-04-08T21:43:39.000Z","@MaiteOrsini @convencioncl Csm la wna tonta por la chucha","replied_to","No Error",0.8364697,0.34966052,0.83943826,0.007961469,2022-04-08
662721,"2022-09-19T23:32:56.000Z","@Hugo_Gutierrez_ Lo unico fake news eres tu, COMUNISTA HDP, JAMAS VENCERAN","replied_to","No Error",0.8460273,0.61260825,0.8502231,0.060119797,2022-09-19
762333,"2021-09-29T21:05:19.000Z","@ElisaLoncon CÁLLATE Vieja qliá TERRORISTA!!!","replied_to","No Error",0.85173553,0.45895407,0.87225974,0.049128212,2021-09-29
358603,"2022-11-26T20:00:02.000Z","@p8k82014 @Hugo_Gutierrez_ SI INCONCIENTE ENFERMO, RATA INMUNDA PELUDA.","replied_to","No Error",0.8696708,0.50703704,0.8987166,0.014048163,2022-11-26
1077527,"2021-09-07T22:53:07.000Z","@ValeMirandaCC @jjcc_chile @carmen_hertz @elmostrador @CHVNoticias @Cooperativa @T13 @biobio @24HorasTVN @meganoticiascl Para que te quiten el IFE debes actualizar tu rsh se calcula todos los meses atrás sin pensar cuanto se demora tranquila vale dale adelante y los fachos culiaos chupenla","replied_to","No Error",0.83334327,0.46947223,0.802824,0.018537397,2021-09-07
665071,"2021-05-24T02:54:05.000Z","@danielstingo arrogante de mierda","replied_to","No Error",0.9248995,0.44787344,0.9335635,0.008414571,2021-05-24
616278,"2022-03-31T19:14:02.000Z","@IgnacioAchurra Da el dato donde tú y la caga de papá que tienes compran la droga, ha de ser muy buena... Mentiroso ctm","replied_to","No Error",0.83334327,0.3532795,0.8579266,0.009023022,2022-03-31
934815,"2022-03-30T16:50:33.000Z","@PromedioAdulto @verukasaltX @gonzalonso123 @EconomistaFlait @JuanjoMartinb no has respondido nada idiota, y eso solo demuestra lo idiota e ignorante que eres.","replied_to","No Error",0.8252207,0.23225316,0.8685752,0.00948907,2022-03-30
1385592,"2022-08-02T21:16:20.000Z","@mcubillossigall Denunciada vieja e' mierda","replied_to","No Error",0.8988238,0.460081,0.9028068,0.009877442,2022-08-02
867968,"2021-08-31T04:36:48.000Z","@elgabo_80 @expatipela @Jaime_Bassa Que tremendo Hijo de Putas es Micco, Demócrata Cristiano po weon, tuertos, ciegos , muertos, montaje, LADRONES todo hechos por los Pacos Qlios. Convención Constituyente AGUANTE","replied_to","No Error",0.9061063,0.6866667,0.9045387,0.06939816,2021-08-31
563130,"2022-07-05T00:55:02.000Z","@ElisaLoncon @Jaime_Bassa Chao vieja bruja y no vuelvas mas,metete tu constitución por el Culo !!! Viejuja !!","replied_to","No Error",0.9029226,0.641557,0.9028068,0.063999176,2022-07-05
1043430,"2022-04-24T17:24:02.000Z","@Jaime_Bassa @2020Murdok Eres un pobre y triste estupido","replied_to","No Error",0.8299589,0.16960317,0.87225974,0.008712323,2022-04-24
1433876,"2022-02-24T16:11:45.000Z","@T13 La raja @tere_marinovic, puta q andan sensibles si todos hablamos a puteadas todo el dia!pueden vestirse como las hueas pa ir a la moneda porque asi son dicen,pero les hablan como a la chilena y se ponen a llorar!! Bien maricon el ctm, parece hay que putear en mapudungun qlio","replied_to","No Error",0.8778702,0.61288875,0.83943826,0.04233929,2022-02-24
1255229,"2021-12-23T23:33:33.000Z","@mdaza_abogado @tere_marinovic @convencioncl Puta que es cara de raja la fachita pobre de la @tere_marinovic","replied_to","No Error",0.8629672,0.5520787,0.87225974,0.013165667,2021-12-23
328178,"2022-06-04T15:02:03.000Z","@Mister_Wolf_0 @ElisaLoncon Una mierda esa vieja , RECHAZO TU MAMARRACHO","replied_to","No Error",0.85333383,0.52891463,0.8579266,0.13498579,2022-06-04
