"id_obs","created_at","text","type","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","date"
647855,"2022-09-17T19:51:28.000Z","@LuBettio @Hugo_Gutierrez_ ufff estoy envidioso del estado en que está argentina.....narigón de mierda peroncho","replied_to","No Error",0.88599813,0.52891463,0.87896585,0.0101363575,2022-09-17
666884,"2021-02-28T00:14:28.000Z","@Diego_Schalper @psperello @baradit Baradit es un weon rasca, resentido, picante, flaite, ordinario, chanta y degenerado","replied_to","No Error",0.83334327,0.45895407,0.8685752,0.009592636,2021-02-28
275250,"2022-11-28T14:02:34.000Z","@PanchoOrregoG Buena epidemia qliao todavía te gastai parejo con el @berfontaine o lo cambiaste por algún kast??? Me contaron que te pillaron con los pantalones abajo y la boca llena y no de comida como te encanta.... Payaso qliao mentiroso!!!","replied_to","No Error",0.8115627,0.35368225,0.84251964,0.01254427,2022-11-28
155095,"2022-12-05T14:39:05.000Z","@ElisaLoncon @Emol Cállate vieja culia","replied_to","No Error",0.91625386,0.49295026,0.9063489,0.019746035,2022-12-05
2236907,"2022-04-27T13:20:53.000Z","@RobertoCeledonF Viejo de mierda 🖕","replied_to","No Error",0.9248995,0.52891463,0.9263389,0.0101363575,2022-04-27
885698,"2022-09-13T23:04:23.000Z","@aquiradiomoscu @RadioTVLiberaci @mariariveramit jajaja son super aweonaos y perkines, hasta el waton alemparte les paso el pico por la cara, cobardes y SAPOS qls","replied_to","No Error",0.82048255,0.45895407,0.83943826,0.03235042,2022-09-13
21761,"2021-09-05T16:00:53.000Z","@claucardenia @bdelamaza Los zurdos de mierda tratando de empatar como pueden , rasgan vestiduras con principios y son una mierda","quoted","No Error",0.89241093,0.45895407,0.87896585,0.011638066,2021-09-05
246844,"2021-11-05T06:04:33.000Z","@tere_marinovic @ElisaLoncon Esa vieja weona es un terrorista asquerosa , nose como tienes tanta paciencia Tereeee","replied_to","No Error",0.8115627,0.44787344,0.8685752,0.014220826,2021-11-05
191969,"2022-05-13T23:59:57.000Z","@conihube Eres miserable y morirás en el más absoluto olvido pobre weona, deja de mentir y mira x el bien común y no sólo x los que te matan el hambre.... Das vergüenza","replied_to","No Error",0.83334327,0.50703704,0.8579266,0.46976724,2022-05-13
951707,"2022-05-22T16:04:50.000Z","@Hugo_Gutierrez_ @Armada Dile esa misma wea a llaitul comunista de mierda jugo Gutiérrez GUSANO repugnante","replied_to","No Error",0.90451443,0.54181844,0.91372794,0.012337137,2022-05-22
1202448,"2022-05-13T00:06:59.000Z","@NatividadLlanq3 Oye carepalta cuantos “indígenas” participaron de esa consulta, a mi no me pescaron ni en bajada. Tu eres una YANAKONA ZURDA C0MEM1ERDA.","replied_to","No Error",0.8988238,0.61476606,0.8987166,0.014911477,2022-05-13
1340257,"2021-10-26T16:15:52.000Z","@PiensaPrensa @tere_marinovic Que mujer culiá más nefasta!","replied_to","No Error",0.8778702,0.50703704,0.87225974,0.008531082,2021-10-26
525147,"2022-11-09T17:19:26.000Z","@itajuschile Ignorante de 1ra línea, que te has creído #HDP increpando mas encima a nuestra futura presidente de Chile @tere_marinovic a éste gil no debieran darle tribuna por estúpido!!!","replied_to","No Error",0.83334327,0.52737635,0.8502231,0.07323132,2022-11-09
237642,"2021-01-02T18:54:35.000Z","@mmlagoscc @felipeharboe Nadie le dice al AMARILLO de @felipeharboe que no se postule, lo que se le dice es que y me incluyo ,que es UN SINVERGÜENZA, KARA DE RAJA, CORRUPTO, FASCISTA ENCUBIERTO, HIENA MISERABLE.","replied_to","No Error",0.85333383,0.54181844,0.88346136,0.022853967,2021-01-02
1350292,"2022-04-14T17:53:10.000Z","@MarcosBarrazaG Comunista de Mierda Hijo de la Mococox🖕🖕🖕🖕🖕🖕🖕","replied_to","No Error",0.9288007,0.6612285,0.9263389,0.03165977,2022-04-14
1284658,"2022-05-17T16:17:04.000Z","@Hugo_Gutierrez_ @PatricioMery @mdaza_abogado @danieljadue @El_Ciudadano PARASITO CTM","replied_to","No Error",0.8252207,0.35368225,0.84251964,0.009825659,2022-05-17
